Bauwerke mit der Benotung 1,5 bis 1,9
TYP 	BESCHREIBUNG 	BWNR_Ne Zustands- Note
41 Stützwand 	Stützmauer am Widerlager B 10/B 3 Unterführung d. Bahnlinie KA-Pforzheim 	K15-201 	1
42 Fußgängerbrücke 	Fußgängerbrücke ü.d. Augustenburgstraße (B 10) bei d. Kirchstraße STW 	K16-03 	1,1
43 Stützwand 	Stützmauer im Bereich Kampmannstraße 	K16-203 	1,1
44 Stützwand 	Stützmauer Friedrichstraße in Grötzingen 	K16-204 	1,3
45 Fußgängerbrücke 	Fußgängerbrücke ü.d. B 36 zwischen Rheinhafenstraße und Lindenallee 	L05-01 	1,1
46 Verkehrszeichenbrücke 	VZB Südtangente (6) 	L07-403 	1,1
47 Verkehrszeichenbrücke 	VZB(77) K9657 Station 1520 	L07-404 	1
48 Verkehrszeichenbrücke 	L 605 FR Ettlingen 	L08-401 	1,1
49 Verkehrszeichenbrücke 	L 605 FR Karlsruhe 	L08-403 	1,4
50 Verkehrszeichenbrücke 	VZB(78) K9657 Station 1670 	L08-407 	1
51 Fußgängerbrücke 	Holzbrücke ü.d. Bootskanal im Stadtgarten (nördl.) 	L09-05 	1,4
52 Verkehrszeichenbrücke 	VZB Südtangente (2) 	L10-403 	1,1
53 Stützwand 	Stützmauer im Zuge der Badener Str. Nr. 39-41 in Durlach 	L15-203 	1,1
54 Stützwand 	Stützmauer 'Auf dem Guggelensberg' 37 in Durlach 	L15-217 	1,1
55 Straßenbrücke 	Straßenbrücke ü.d. Alb i.Z.d. Nürnberger Straße 	M09-03 	1,3
56 Lärmschutzwand 	Lärmschutzwand im Zuge der Südtangente im Bereich ( BW 41) Rampe West Südseite 	M09-101 	1
57 Stützwand 	Stützmauer i.Z. der Südtangente im Bereich Rampe West Südtangente in Verlängerung der Lärmschutzwand 	M09-201 	1
58 Straßenbrücke 	Narrenbrücke Überführung eines Hauptwirtschaftsweges ü.d. Südtangente östl. der Ettl. Allee (BW 54) 	M10-02 	1
59 Fußgängerbrücke 	Fußgängersteg ü.d. Scheidgraben im Oberwald (Profil 2+434) 	N11-02 	1,3
60 Fußgängerbrücke 	Fußgängersteg ü.d. Scheidgraben im Oberwald (Profil 2+852) 	N11-03 	1
61 Stützwand 	2. STW Tiefentalstr 0.541-0.632 	N14-202 	1,1
62 Stützwand 	Stützmauer an dem Wendehammer im Baugebiet ' Fünfzig Morgen ' in Hohenwettersbach 'Köpfle 1' 	O15-202 	1
63 Stützwand 	Stützmauer im Birkenwäldle 2 im Baugebiet _ Fünfzig Morgen _ in Hohenwettersbach 	O15-204 	1
64 Stützwand 	Stützmauer im Ochsenwiese im Baugebiet _ Fünfzig Morgen _ in Hohenwettersbach 	O15-205 	1
65 Stützwand 	Stützmauer im Dachsbau im Baugebiet _ Fünfzig Morgen _ in Hohenwettersbach 	O15-206 	1,2
66 Stützwand 	Stützmauer an dem Wendehammer im Baugebiet ' Fünfzig Morgen ' in Hohenwettersbach 'Köpfle 2' 	O15-207 	1
67 Stützwand 	Stützmauer an dem Wendehammer im Baugebiet ' Fünfzig Morgen ' in Hohenwettersbach '50 Morgen' 	O15-208 	1,1
68 Straßenbrücke 	Straßenbrücke ü.d. Wettersbach i.Z. d. Bachgasse 	P14-01 	1,2
69 Lärmschutzwand 	LSW Karlsbader-Str_An der Klam 	Q17-101 	1

-- 4 of 15 --

Bauwerke mit der Benotung 2,0 bis 2,4
TYP 	BESCHREIBUNG 	BWNR_Ne Zustands- Note
1 Straßenbrücke 	Straßenbrücke ü.d. Alb nördlich der OMW 	C05-01 	2
2 Straßenbrücke 	Kuhbacher - Brücke Straßenbrücke über den Weißer Graben in Neureut 	C07-01 	2,2
3 Wirtschaftswegbrücke 	Wirtschaftswegbrücke ü.d. Hauptvorflutkanal im Bereich des HWD XXVIII 	D06-01 	2,2
4 Wirtschaftswegbrücke 	Wirtschaftswegbrücke ü.d. Hauptsammelkanal i.Z. 'An der Wässerung' 	E06-01 	2,4
5 Fußgängerbrücke 	Kirchfeldbrücke - Fußgängerbrücke ü.d. Linkenheimer Landstraße (L605) 	E09-01 	2,3
6 Fußgängerbrücke 	Fußgängerbrücke ü.d. Pfinz im Gewann Brendenbruch Gemarkungsgrenze Stutensee 	E15-01 	2,3
7 Straßenbrücke 	Straßenbrücke ü.d. Raffinerieanschlußgleis und die verl. Alb 	F03-01 	2,4
8 Fußgängerbrücke 	Fußgängerbrücke über den Pfinzentlastungskanal bei d. Reitschulschlagsiedlung 	F13-01 	2,2
9 Fußgängerbrücke 	Fußgängerbrücke ü. d. L 560 i.d. Waldstadt-Feldlage nördlich der Jägerhausstraße 	F13-03 	2,1
10 Fußgänger-UF 	Geh- und Radwegunterführung beim Reitschulschlag 	F13-06 	2
11 Lärmschutzwand 	Lärmschutzwand a.d. DB Strecke KA-MA BA 3 LSW in Hagsfeld Ostseite 	F13-102 	2,2
12 Lärmschutzwand 	Lärmschutzwand Gabionen Lachenweg (Wohnen am Wasser) 	F13-104 	2,2
13 Waldwegbrücke 	Waldwegbrücke ü.d. Pfinz -Füllbruchbrücke- 	F14-02 	2,2
14 Gleisbrücke 	Stadtbahnbrücke über den Pfinzentlastungskanal i.Z.d. Schwetzinger Straße 	F14-05 	2,2
15 Wirtschaftswegbrücke 	Wirtschaftswegbrücke ü.d. Weidgraben im Gewann 'Im Rebstock' 	F16-01 	2,2
16 Bediensteg 	Wehr mit Bedienungssteg ü.d. Gießbach im Gewann 'In den Lochwiesen / Kuhweide )' 	F16-02 	2,2
17 Fußgängerbrücke 	Fußgängersteg ü.d. Gießbach im Gewann 'In den Lochwiesen/Kuhweide' 	F16-04 	2,4
18 Waldwegbrücke 	Waldwegbrücke ü.d. südl Federbachbypass (km 0,270) 	G03-05 	2,1
19 Gleisbrücke 	Stadtbahn KA - Wörth, Brücke ü.d. Alb 	G04-10 	2
20 Lärmschutzwand 	Sichtschutzwand Frauenhäusleweg in Knielingen 	G04-102 	2,1
21 Lärmschutzwand 	Lärmschutzwand an der B36 zw. Siemansallee und Landauer Str. Gabionen 	G06-102 	1,0 bis 2,1
22 Stützwand 	Stützwand bei der Eislaufhalle Neureut Straßenbahn Nordstadt 	G08-201 	2,2
23 Fußgängerbrücke 	Feldwegbrücke ü.d. Alte Bach in Hagsfeld südl. der Brückenstraße 	G13-01 	2,2
24 Fußgängerbrücke 	Fußgängerbrücke ü.d. L 560 i.d. Waldstadt-Feldlage zw. Waldeck- und Jägerhausstraße (BW 1) 	G13-03 	2,3
25 Fußgängerbrücke 	Fußgängerbrücke ü.d. L 560 i.Z.d. Waldeckstraße 	G13-04 	2
26 Wirtschaftswegbrücke 	Wirtschaftswegbrücke West ü.d. Beuthener Straße 	G13-05 	1,9 bis 2,4
27 Fußgänger-UF 	Fuß- und Radwegunterführung zw. Baug. Geroldsäcker u. Hagsfeld 	G13-09 	2,2
28 Lärmschutzwand 	Lärmschutzwand im Zuge der Straße 'An der Bahn' '1b' 	G13-102 	2,2
29 Lärmschutzwand 	Lärmschutzwand zw. Waldeck u. Beuthener Str '4' 	G13-104 	2,2
30 Fußgängerbrücke 	Fußgängersteg ü.d. Alte Bach in Hagsfeld beim Durchgang Vokkenausstraße 31 	G14-02 	2,3
31 Fußgängerbrücke 	Fußgängersteg ü.d. Alte Bach in Hagsfeld 	G14-03 	2,2
32 Feldwegbrücke 	Feldwegbrücke ü.d. Gießbach im Gewann Kuhweide 	G16-02 	2,3
33 Waldwegbrücke 	Waldwegbrücke ü.d. Zulauf Fischerweg 	H02-02 	2,2
34 Feldwegbrücke 	Brücke über den Federbach / Maxau 	H03-01 	2,2
35 Fußgängerbrücke 	Fußgängersteg ü.d. Federbach nördlich des Stichkanals (Becken VI) 	H03-03 	2,4
36 Straßenbrücke 	Straßenbrücke über die Hardtbahn i.Z.d. Rheinstraße (K9651) 	H05-01 	2,3
37 Straßenbrücke 	Fußgängerunterführung Franz-Lust-Straße Knielinger Allee (Nordbahn) 	H07-03 	2,0 bis 2,4

-- 5 of 15 --

38 Verkehrszeichenbrücke 	VZB Adenauerring / Kurze Allee 	H09-401 	2,2
39 Fußgängerbrücke 	Fußgängerbrücke ü.d. Adenauerring i.Z.d. Linkenheimer Landstraße 	H10-01 	2,3
40 Fußgängerbrücke 	Fußgängersteg ü.d. Alten Bach in Hagsfeld 	H13-03 	2,2
41 Lärmschutzwand 	Lärmschutzwand entlang der Neubrunnenstraße 	H13-101 	2,4
42 Lärmschutzwand 	Lärmschutzwand entlang der Bruchsaler Straße zw. Weglangstr./ Waldeckstraße in Hagsfeld 	H13-102 	2,3
43 Fußgängerbrücke 	Fußgängersteg ü.d. Pfinz bei ASV Hagsfeld ( Station 4+410 ) 	H14-02 	2
44 Straßenbrücke 	Straßenbrücke ü.d. Gießbach i.Z.d. Straße am Viehweg 	H16-01 	2,2
45 Wirtschaftswegbrücke 	Wirtschaftswegbrücke ü.d. Giesbach im Gewann Brennenwiesen 	H16-02 	2,2
46 Waldwegbrücke 	Waldwegbrücke über einen Wassergraben westl. des HWDXXV 	J02-03 	2,4
47 Fußgänger-UF 	Fußgängerunterführung Hardtschule 	J06-02 	1,7 bis 2,3
48 Verkehrszeichenbrücke 	Honsellstraße 	J06-402 	2,3
49 Verkehrszeichenbrücke 	B10 / Ausfahrt B 36 	J06-403 	2
50 Verkehrszeichenbrücke 	Moltkestraße 	J07-401 	2,2
51 Fußgängerbrücke 	Fußgängerbrücke Knielinger Allee ü.d. Adenauerring 	J08-01 	2,2
52 Fußgängerbrücke 	Fußgängerbrücke ü.d. Adenauerring b.d. Richard-Willstädter-Allee/Am Fasanengarten 	J10-02 	2,1
53 Fußgängerbrücke 	Fußgängerbrücke ü.d. Adenauerring i.Z.d. Hagsfelder Allee 	J10-03 	2,3
54 Verkehrszeichenbrücke 	Adenauerring vor dem Durlacher Tor 	J10-401 	2,1
55 Fußgängerbrücke 	Fußgängerbrücke ü.d. Ostring bei der Forststraße 	J12-01 	2,4
56 Straßenbrücke 	Straßenbrücke über die Pfinz i.Z.d Straße ' Am Storrenacker ' 	J14-04 	2,3
57 Straßenbrücke 	Straßenbrücke ü.d. Beungraben in Durlach i.Z.d. Alte Weingartener Straße 	J15-04 	2,2
58 Feldwegbrücke 	Wegbrücke ü. d. Gießbach im Gewann 'Hofäcker' 	J15-06 	2,2
59 Waldwegbrücke 	Waldwegbrücke ü.d. Verbindungsgraben Altrhein / Grünen Wasser 	K02-02 	2,2
60 Straßenbrücke 	Straßenbrücke ü.d. Alter Federbach i.Z. d. Waidweges 	K03-01 	2,2
61 Waldwegbrücke 	Rundbogenbrücke im ' Lutherisch Wäldele ' 	K05-00 	2,1
62 Straßenbrücke 	Straßenbrücke ü.d. Alb i.Z.d. Kornweges 	K05-01 	2,2
63 Straßenbrücke 	Eckener-Brücke- Straßenbrücke ü.d. Alb i.Z.d. Eckener Straße 	K05-04 	2,2
64 Fußgängerbrücke 	Wegbrücke ü.d. Alb i.Z.d. verlängerten Appenmühlstraße 	K05-05 	2,1
65 Fußgängerbrücke 	Fußgängersteg ü.d. Alb westlich der Appenmühle 	K05-06 	2,2
66 Fußgängerbrücke 	Fußgängersteg ü.d. Alb westlich der Eckener Brücke ( verl. Kopernikusstraße ) 	K05-07 	2,2
67 Fußgängerbrücke 	Fußgängerbrücke ü.d. Rheinhafenstraße b.d. Besselstraße 	K05-08 	1,0 bis 2,4
68 Stützwand 	Stützwand Maria-Hilf-Kapelle 	K05-202 	2,3
69 Straßenbrücke 	Metzbrücke - Straßenbrücke ü.d. Werkgelände der Fa. Metz i.Z.d. Michelin /Durmersheim. Str. 	K06-01 	2,3
70 Straßenbrücke 	Straßenbrücke ü.d. Alb i.Z.d. Liststraße BW 9 	K06-03 	2,4
71 Straßenbrücke 	Straßenbrücke ü.d. Alb i.Z.d. Durmersheimer Straße 	K06-04 	2
72 Fußgängerbrücke 	Fußgängersteg ü.d. Alb nördl. der Zeppelinstraße 	K06-08 	2,3
73 Fußgängerbrücke 	Fußgängerbrücke ü.d. Alb beim Mühlburger Feld 	K06-09 	2
74 Lärmschutzwand 	Lärmschutzwand Michelinstraße im Bereich Entenfang 	K06-103 	2
75 Lärmschutzwand 	LSW B10 Entenfang 	K06-104 	1,0 bis 2,3
76 Straßenbrücke 	Straßenbrücke ü.d. Alb i.Z.d. Verbindung Entenfang zur B 10 (BW 10) 	K06-15 	2
77 Fußgängerbrücke 	Fußgängerbrücke ü.d. B10 östlich der Vogesenbrücke (BW15) 	K06-18 	2,2

-- 6 of 15 --

78 Fußgängerbrücke 	Fußgängerrampe zur Grünwinkler Brücke 	K06-19 	2,2
79 Stützwand 	Stützmauer im Bereich der Abfahrtsrampe Ost im Zuge der Verbindung Vogesenbrücke B 36 zur Südtangente B 10 	K06-202 	2,4
80 Fußgängerbrücke 	Fußgängerbrücke ü.d. Alb beim km 17+540 im bereich Entenfang 	K06-22 	2,2
81 Verkehrszeichenbrücke 	Vogesenstraße Abfahrt zur Südtangente 	K06-401 	2
82 Verkehrszeichenbrücke 	Vogesenstraße 	K06-402 	2,1
